Month,cough: (United States),vomiting: (United States),body aches: (United States)
2014-04-01,33,11,2.0
2014-05-01,29,10,2.0
2014-06-01,27,10,2.0
2014-07-01,22,10,2.0
2014-08-01,23,9,2.0
2014-09-01,28,9,2.0
2014-10-01,31,10,2.0
2014-11-01,36,10,2.0
2014-12-01,49,12,2.0
2015-01-01,45,12,2.0
2015-02-01,40,12,2.0
2015-03-01,38,12,2.0
2015-04-01,35,11,2.0
2015-05-01,31,10,2.0
2015-06-01,26,10,2.0
2015-07-01,24,10,2.0
2015-08-01,24,10,2.0
2015-09-01,31,9,2.0
2015-10-01,34,10,2.0
2015-11-01,39,10,2.0
2015-12-01,45,12,2.0
2016-01-01,46,12,2.0
2016-02-01,51,13,3.0
2016-03-01,44,13,3.0
2016-04-01,38,12,2.0
2016-05-01,32,11,2.0
2016-06-01,29,11,2.0
2016-07-01,24,11,2.0
2016-08-01,26,9,2.0
2016-09-01,34,10,2.0
2016-10-01,39,11,2.0
2016-11-01,43,11,2.0
2016-12-01,49,13,2.0
2017-01-01,51,14,3.0
2017-02-01,50,13,3.0
2017-03-01,44,13,3.0
2017-04-01,41,13,2.0
2017-05-01,36,11,2.0
2017-06-01,31,11,2.0
2017-07-01,28,11,2.0
2017-08-01,27,10,2.0
2017-09-01,37,10,2.0
2017-10-01,40,11,2.0
2017-11-01,49,12,3.0
2017-12-01,61,15,4.0
2018-01-01,67,15,4.0
2018-02-01,57,14,4.0
2018-03-01,46,12,3.0
2018-04-01,41,13,3.0
2018-05-01,37,12,3.0
2018-06-01,34,12,2.0
2018-07-01,29,12,2.0
2018-08-01,28,11,2.0
2018-09-01,39,11,3.0
2018-10-01,42,11,3.0
2018-11-01,51,12,3.0
2018-12-01,61,14,3.0
2019-01-01,58,14,3.0
2019-02-01,57,14,3.0
2019-03-01,54,14,3.0
2019-04-01,47,13,3.0
2019-05-01,41,12,3.0
2019-06-01,35,12,2.0
2019-07-01,30,11,2.0
2019-08-01,31,11,2.0
2019-09-01,39,11,3.0
2019-10-01,45,11,3.0
2019-11-01,57,13,3.0
2019-12-01,65,14,4.0
2020-01-01,67,14,4.0
2020-02-01,64,13,4.0
2020-03-01,100,14,6.0
2020-04-01,50,12,4.0
2020-05-01,27,11,3.0
2020-06-01,25,11,3.0
2020-07-01,31,12,3.0
2020-08-01,27,11,3.0
2020-09-01,27,10,3.0
2020-10-01,34,11,3.0
2020-11-01,37,11,4.0
2020-12-01,39,10,4.0
2021-01-01,35,11,4.0
2021-02-01,30,12,3.0
2021-03-01,31,12,3.0
2021-04-01,35,13,4.0
2021-05-01,39,12,3.0
2021-06-01,40,12,3.0
2021-07-01,45,13,3.0
2021-08-01,53,13,4.0
2021-09-01,56,12,4.0
2021-10-01,57,12,4.0
2021-11-01,63,13,4.0
2021-12-01,75,15,7.0
2022-01-01,78,16,9.0
2022-02-01,46,15,4.0
2022-03-01,47,16,3.0
2022-04-01,52,15,4.0
2022-05-01,59,14,5.0
2022-06-01,57,13,5.0
2022-07-01,49,13,5.0
2022-08-01,49,12,4.0
2022-09-01,53,12,4.0
2022-10-01,68,13,4.0
2022-11-01,88,14,5.0
2022-12-01,90,15,6.0
2023-01-01,64,15,4.0
2023-02-01,63,16,4.0
2023-03-01,58,16,4.0
2023-04-01,51,15,4.0
2023-05-01,49,14,4.0
2023-06-01,44,14,3.0
2023-07-01,37,13,3.0
2023-08-01,38,11,4.0
2023-09-01,51,12,4.0
2023-10-01,61,13,4.0
2023-11-01,77,14,4.0
2023-12-01,92,16,6.0
