Category: All categories

Month,Vaccine: (United States),lockdown: (United States),Quarantine: (United States),WHO Guidelines: (United States),Face mask: (United States)
2022-12,6,<1,1,<1,1
2023-01,7,<1,<1,<1,1
2023-02,5,<1,<1,<1,1
2023-03,5,<1,<1,<1,1
2023-04,5,<1,<1,<1,1
2023-05,5,<1,<1,<1,1
2023-06,5,<1,<1,<1,1
2023-07,5,<1,<1,<1,1
2023-08,5,1,<1,<1,1
2023-09,8,1,<1,<1,1
2023-10,8,<1,<1,<1,1
2023-11,6,<1,<1,<1,1
2023-12,5,<1,<1,<1,1
